hash,message,added_lines,label,notes
aec0b766d74dc320f7d883dd5202f16e21e071e8,Update Testing for Server-Side Request Forgery (SSRF),"+Overview
+In a Server-Side Request Forgery (SSRF) attack, the attacker can abuse functionality on the server to read or update internal resources. The attacker can supply or a modify a URL which the code running on the server will read or submit data to, and by carefully selecting the URLs, the attacker may be able to read server configuration such as AWS metadata, connect to internal services like http enabled databases or perform post requests towards internal services which are not intended to be exposed.
+Description
+The target application may have functionality for importing data from a URL, publishing data to a URL or otherwise reading data from a URL that can be tampered with. The attacker modifies the calls to this functionality by supplying a completely different URL or by manipulating how URLs are built (path traversal etc.).
+Some common vulnerabilities related to server-side request forgery:
+- URL redirection
+- Remote file inclusion
+- SQL injection
+- Link Injection
+
+How to Test
+
+Case I: End points which fetch external/internal resources
+
+- With GET request:
+http://example.com/index.php?page=about.php
+http://example.com/index.php?page=https://attackersite.com
+http://example.com/index.php?page=file:///etc/passwd
+
+- With POST request:
+
+POST /test/ssrf_form.php HTTP/1.1
+Host: example.com
+
+url=https://hacker.com/as&name2=value2
+
+Case II: PDF generators - There are some cases where server converts uploaded file to a pdf.Try injecting <iframe>, <img>, <base> or <script> elements or CSS url() functions pointing to internal services.
+
+<iframe src=”file:///etc/passwd” width=”400"" height=”400"">
+<iframe src=”file:///c:/windows/win.ini” width=”400"" height=”400"">
+
+Tool: Burpsuite, ZAP",1,Security Knowledge
2ee90b0a3846825e3d26cea95cb1da9d27fe4cef,Update Link Check Action,"+      uses: futuratrepadeira/changed-files@v3.0.1
+      uses: thollander/actions-comment-pull-request@1.0.0
+        GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}",0,Noise / Non-knowledge
f22b7202eb20c14b973d01e963c00a29a33ae6aa,Publish Latest checklists 2026-02-16 (#1319),"+SHA-256: 387fe950cbab5a473d7bacc9aa5639c789199dfe41e1ec40eecb31593d0b3c9c
+                ""name"":""Testing for HTTP Response Splitting"",
+                ""reference"":""https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/07-Input_Validation_Testing/15-Testing_for_HTTP_Response_Splitting"",
+                    ""Identify user-controlled input that is reflected into HTTP response headers."",
+                    ""Assess whether CR (`r`) and LF (`n`) characters can be injected into response headers."",
+                    ""Determine the potential impact of successful HTTP Response Splitting attacks, such as cache poisoning or client-side exploitation.""
+                ""name"":""Testing for HTTP Request Smuggling"",
+                ""reference"":""https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/07-Input_Validation_Testing/16-Testing_for_HTTP_Request_Smuggling"",
+                    ""Identify request boundary inconsistencies between frontend and backend components"",
+                    ""Detect classic CL/TE desynchronization vulnerabilities"",
+                    ""Evaluate protocol translation logic (HTTP/2 → HTTP/1.1)"",
+                    ""Assess H2C upgrade handling and downgrade safety"",
+                    ""Confirm backend request queue poisoning""",0,Noise / Non-knowledge
0f42f05c7931700082f6bb17d42cc2b82dc5e269,Fix comment workflow artifact download to handle missing artifacts gracefully (#1331),"+        id: download-artifact
+        continue-on-error: true
+        if: steps.download-artifact.outcome == 'success'",0,Noise / Non-knowledge
cd77a736010c7418a8b4e1fd83cd7c5bdc5cea82,Revise CIS-CAT Reference (#460),"+Various tools, documents, or checklists can be used to give IT and security professionals a detailed assessment of target systems' conformance to various configuration baselines or benchmarks. Such tools include (but are not limited to):
+- [CIS-CAT Lite](https://www.cisecurity.org/blog/introducing-cis-cat-lite/)
+- [Microsoft's Attack Surface Analyzer](https://github.com/microsoft/AttackSurfaceAnalyzer)
+- [NIST's National Checklist Program](https://nvd.nist.gov/ncp/repository)",0,Noise / Non-knowledge
3b056c3e293359736bf7cf702770e7f854ee6a35,Section 1.2 Fix Wikilinks,"+The OWASP Foundation came online on [December 1st 2001](http://wayback.archive.org/web/*/http://www.owasp.org) it was established as a not-for-profit charitable organization in the United States on April 21, 2004 to ensure the ongoing availability and support for our work at [OWASP](https://www.owasp.org/index.php/Main_Page). OWASP is an international organization and the OWASP Foundation supports OWASP efforts around the world. OWASP is an open community dedicated to enabling organizations to conceive, develop, acquire, operate, and maintain applications that can be trusted. All of the OWASP tools, documents, forums, and chapters are free and open to anyone interested in improving application security. We advocate approaching application security as a people, process, and technology problem because the most effective approaches to application security include improvements in all of these areas. We can be found at [www.owasp.org](https://www.owasp.org/index.php/Main_Page).
+OWASP is a new kind of organization. Our freedom from commercial pressures allows us to provide unbiased, practical, cost-effective information about application security. OWASP is not affiliated with any technology company, although we support the informed use of commercial security technology. Similar to many open-source software projects, OWASP produces many types of materials in a collaborative and open way. The [OWASP Foundation](https://www.owasp.org/index.php/About_The_Open_Web_Application_Security_Project) is a not-for-profit entity that ensures the project's long-term success.
+[![](https://www.owasp.org/images/9/98/Btn_cofollow_badge.png)](http://www.linkedin.com/companies/owasp)
+[OWASP Foundation ByLaws](https://www.owasp.org/index.php/OWASP_Foundation_ByLaws)
+[Local Chapter ByLaws](https://www.owasp.org/index.php/Local_Chapter_ByLaws)
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+#### [Matt Konda](Uhttps://www.owasp.org/index.php/Matt_Konda) Chair
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+
+#### [Andrew van der Stock](https://www.owasp.org/index.php/User:Vanderaj) Treasurer
+
+Treasurer ­manages finances of the organization, administers fiscal matters of the organization, provides annual budget to the board for member’s approval, ensures development and board review of financial policies and procedures.\\
+
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+#### [Tom Brennan](https://www.owasp.org/index.php/User:Brennan) Secretary
+
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+
+#### [Michael Coates](https://www.owasp.org/index.php/User:MichaelCoates) Member at Large
+
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+
+#### [Tobias Gondrom](https://www.owasp.org/index.php/User:Tgondrom) Member at Large
+
+
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+
+<img src=""https://www.owasp.org/images/thumb/e/e6/Owasp_logo_icon.jpg/180px-Owasp_logo_icon.jpg"" width=""120"" align=""left"">
+
+#### [Josh Sokol](https://www.owasp.org/index.php/User:Jsokol) Member at Large
+
+
+
+[ Board meeting minutes for the record.](https://www.owasp.org/index.php/Board#tab=Board_Meetings)
+All OWASP materials are available under an approved [FLOSS license](https://www.owasp.org/index.php/OWASP_Licenses). For more information, please see the **[OWASP Licenses](https://www.owasp.org/index.php/OWASP_Licenses)** page.
+Everyone is welcome to participate in our [forums](https://lists.owasp.org/mailman/listinfo), [projects](https://www.owasp.org/index.php/Category:OWASP_Project), [chapters](https://www.owasp.org/index.php/OWASP_Chapter), and [conferences](https://www.owasp.org/index.php/Category:OWASP_AppSec_Conference). OWASP is a fantastic place to learn about application security, to network, and even to build your reputation as an expert.
+For more information, please see the **[Membership](https://www.owasp.org/index.php/Membership)** page.
+For details on all the OWASP projects, please see the **[OWASP Project](https://www.owasp.org/index.php/Category:OWASP_Project)** page.
+If you are interested in joining OWASP as a member, or donating funds for OWASP's efforts, please check out the [OWASP Membership Page](https://www.owasp.org/index.php/Membership).
+[2015 Annual Report](https://www.owasp.org/index.php/File:OWASP_Annual_Report_2015.pdf)
+The easiest way to contact the [OWASP Foundation](https://www.owasp.org/index.php/About_The_Open_Web_Application_Security_Project) is via e-mail. If you have a question concerning a particular project, we <b>strongly</b> recommend using the [mailing list]",0,Noise / Non-knowledge
3caafb77f338ae1c402ff35f7c18f3d1047f539e,Update 01-Reporting_Structure.md (#969),"+- A checklist of all the tests conducted, such as the [WSTG checklist](https://github.com/OWASP/wstg/tree/master/checklists). These can be provided as attachments to the report.",0,Noise / Non-knowledge
dd33419e10edb22b78d89325a6c2aad9f184e3a2,Fix ENV var setting (#653),"+        echo ""VERSION_TAG=$VERSION_TAG"" >> $GITHUB_ENV
+        echo ""VERSION_PATH=$VERSION_PATH"" >> $GITHUB_ENV",0,Noise / Non-knowledge
ba43109a46babbd58dc738e4a76c0540fdf76eea,4.7.3 - v4 Migration Cleanup,"+# Testing for Session Fixation
+
+## Summary
+Session fixation vulnerabilities occur when:
+- A web application authenticates a user without first invalidating the existing session ID, thereby continuing to use the session ID already associated with the user.
+- An attacker is able to force a known session ID on a user so that, once the user authenticates, the attacker has access to the authenticated session.
+## How to Test
+#### Testing for Session Fixation Vulnerabilities
+
+The first step is to make a request to the site to be tested (_e.g._ `www.example.com`). If the tester requests the following:
+```html
+HTTP/1.1 200 OK
+Date: Wed, 14 Aug 2008 08:45:11 GMT
+Server: IBM_HTTP_Server
+Set-Cookie: JSESSIONID=0000d8eyYq3L0z2fgq10m4v-rt4:-1; Path=/; secure
+Cache-Control: no-cache=""set-cookie,set-cookie2""
+Expires: Thu, 01 Dec 1994 16:00:00 GMT
+Keep-Alive: timeout=5, max=100
+Connection: Keep-Alive
+Content-Type: text/html;charset=Cp1254
+Content-Language: en-US
+```
+```html
+POST https://www.example.com/authentication.php HTTP/1.1
+Host: www.example.com
+User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; it; rv:1.8.1.16) Gecko/20080702 Firefox/2.0.0.16
+Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5
+Accept-Language: it-it,it;q=0.8,en-us;q=0.5,en;q=0.3
+Accept-Encoding: gzip,deflate
+Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
+Keep-Alive: 300
+Connection: keep-alive
+Referer: http://www.example.com
+Cookie: JSESSIONID=0000d8eyYq3L0z2fgq10m4v-rt4:-1
+Content-Type: application/x-www-form-urlencoded
+Content-length: 57
+
+Name=Meucci&wpPassword=secret!&wpLoginattempt=Log+in
+```
+```html
+HTTP/1.1 200 OK
+Date: Thu, 14 Aug 2008 14:52:58 GMT
+Server: Apache/2.2.2 (Fedora)
+X-Powered-By: PHP/5.1.6
+Content-language: en
+Cache-Control: private, must-revalidate, max-age=0
+X-Content-Encoding: gzip
+Content-length: 4090
+Connection: close
+Content-Type: text/html; charset=UTF-8
+...
+HTML data
+...
+```
+> The tester can send a valid session identifier to a user (possibly using a social engineering trick), wait for them to authenticate, and subsequently verify that privileges have been assigned to this cookie.
+> The application should always first invalidate the existing session ID before authenticating a user, and if the authentication is successful, provide another sessionID.
+## Tools
+- [JHijack - a numeric session hijacking tool](http://yehg.net/lab/pr0js/files.php/jhijackv0.2beta.zip)
+- [OWASP WebScarab](https://www.owasp.org/index.php/OWASP_WebScarab_Project)
+## References
+### Whitepapers
+- [Session Fixation](https://www.owasp.org/index.php/Session_Fixation)
+- [ACROS Security](http://www.acrossecurity.com/papers/session_fixation.pdf)
+- [Chris Shiflett](http://shiflett.org/articles/session-fixation)",0,Noise / Non-knowledge
72ea52b823e38a05d56dfccf43556118dda5bf28,Fix zip md,"+        'mkdir <zip_folder>'
+        'ZIP -r <zip_filename> <directoty_name>'
+        'jar -tvf <zip_filename>'",0,Noise / Non-knowledge
8791969de0b41de0fa4214b8573908f8fa912847,Improve meta documents (#240),"+Add a clear and concise description of your idea to improve the project.
+Describe the problem and why it should be fixed. Be concise and specific. Reference sections where appropriate.
+Clearly describe the solution you'd like to see implemented.
+Check the box if you will submit a PR to fix this issue. Please read CONTRIBUTING.md.
+Briefly describe the topic of the new content. Is this a new section or an addition to an existing topic?
+Check the box if you will submit a PR to add the proposed content. Please read CONTRIBUTING.md.
+Thank you for considering contributing to the Web Security Testing Guide (WSTG)!
+This document explains how to make a helpful contribution.
+Here are two ways you can contribute to the guide. You will need a [GitHub account](https://help.github.com/en/github/getting-started-with-github/signing-up-for-a-new-github-account) in order to help out.
+The [Open Source Guide for why and how to contribute](https://opensource.guide/how-to-contribute/) is also a good resource.
+### 1. Tell Us How to Improve
+[Create an issue](https://github.com/OWASP/wstg/issues/new/choose) using the appropriate template.
+Choose a short, descriptive title. Briefly explain what you think needs changing. Among other things, your suggestions may include grammar or spelling errors, or address insufficient or outdated content.
+### 2. Make an Improvement Yourself
+Here are the steps for creating and submitting a Pull Request (PR) that we can quickly review and merge.
+1. [Set up your environment](#how-to-set-up-your-contributor-environment) to fork the project and install a Markdown linter.
+2. Associate your contribution with an [issue](https://github.com/OWASP/wstg/issues). To change existing content, read [Improve Existing Content](#improve-existing-content). To make additions, read [Add New Content](#add-new-content).
+3. Make your modifications. Be sure to follow our [style guide](style_guide.md).
+4. When you're ready to submit your work, push your changes to your fork. Ensure that your fork is [synced with `master`](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/syncing-a-fork), then [create a PR](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/creating-a-pull-request-from-a-fork). You may want to [allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork) so we can help with small changes like fixing typos.
+5. We'll review your PR. We may comment to ask for clarification or changes, so please check back in the next few days.
+Once the PR is complete, we'll merge it! At that point, you may like to add yourself to [the project's list of authors, reviewers, or editors](document/1_Frontispiece/1_Frontispiece.md).
+#### Improve Existing Content
+Keeping the project up to date and looking spiffy is a group effort! The WSTG is a constantly updated document. Please don't hesitate to make as many changes as you see fit, especially if you notice that existing content does not match the [article template materials](template) and [style guide](style_guide.md).
+We greatly appreciate your help with updating content, and fixing errors including spelling and grammar.
+To help us keep track of your work, associate your contribution with an issue:
+1. Choose an [open and unassigned issue](https://github.com/OWASP/wstg/issues?q=is%3Aopen+is%3Aissue+no%3Aassignee) to work on, or [open an issue](https://github.com/OWASP/wstg/issues/new/choose) yourself. Post a comment in the issue and request to be assigned to it.
+2. Create and switch to a new local branch with the name `fix-<issue number>`. For example, `git checkout -b fix-88`.
+#### Add New Content
+The OWASP Testing Guide would not be possible without the contributions of the security community. Whether you are submitting a new section or adding information to an existing one, please follow the [template example](template/999.1_Testing_for_a_Cat_in_a_Box_OTG-FOO-001.md). The [template sections are explained here](template/999.2_Template_Explanation_OTG-FOO-002.md).
+To help us keep track of your work, associate your contribution with an issue:
+1. Open an [Add New Content issue](https://github.com/OWASP/wstg/issues/new?assignees=&labels=New&template=new-content.md&title=), or choose an [unassigned new content issue](https://github.com/OWASP/wstg/issues?q=is%3Aopen+is%3Aissue+label%3ANew+no%3Aassignee) and ask to be assigned to it.
+2. Create and switch to a new local branch with the name `new-<issue number>`. For example, `git checkout -b new-164`.
+## How to Set Up Your Contributor Environment
+1. [Create an account on GitHub](https://help.github.com/en/github/getting-started-with-github/signing-up-for-a-new-github-account).
+2. Install [Visual Studio Code](https://code.visualstudio.com/) and this [Markdown linter plugin](https://github.com/DavidAnson/vscode-markdownlint#install). We use this",0,Noise / Non-knowledge
d8eb8d2619696188c6fb84594bf71403cabca5c6,Fix ePub,+      run: |,0,Noise / Non-knowledge
